id,title,main_picture,alternative_titles,start_date,end_date,synopsis,mean,rank,popularity,num_list_users,num_scoring_users,genres,media_type,status,num_episodes
6074,21 Emon Uchuu ike! Hadashi no Princess,"{""medium"": ""https://cdn.myanimelist.net/images/anime/13/13278.jpg"", ""large"": ""https://cdn.myanimelist.net/images/anime/13/13278l.jpg""}","{""synonyms"": [], ""en"": ""21-Emon: To Space! The Barefoot Princess"", ""ja"": ""\uff12\uff11\u30a8\u30e2\u30f3 \u5b87\u5b99\u3044\u3051\uff01\u88f8\u8db3\u306e\u30d7\u30ea\u30f3\u30bb\u30b9""}",1992-03-07,1992-03-07,,6.17,8998,13817,1146,422,"[{""id"": 4, ""name"": ""Comedy""}, {""id"": 24, ""name"": ""Sci-Fi""}, {""id"": 29, ""name"": ""Space""}]",movie,finished_airing,1
13859,Accel World: Acchel World.,"{""medium"": ""https://cdn.myanimelist.net/images/anime/10/38469.webp"", ""large"": ""https://cdn.myanimelist.net/images/anime/10/38469l.webp""}","{""synonyms"": [""Accel World Specials"", ""Accelerated World Specials""], ""en"": """", ""ja"": ""\u3042\u304f\u3061\u3047\u308b\u30fb\u308f\u30fc\u308b\u3069\u3002""}",2012-07-25,2013-02-27,Spin-off of Accel World included on the anime Blu-ray/DVDs.,6.17,8999,3654,42410,19316,"[{""id"": 4, ""name"": ""Comedy""}, {""id"": 24, ""name"": ""Sci-Fi""}]",special,finished_airing,8
17117,Aoi Kioku: Manmou Kaitaku to Shounen-tachi,"{""medium"": ""https://cdn.myanimelist.net/images/anime/1282/146072.jpg"", ""large"": ""https://cdn.myanimelist.net/images/anime/1282/146072l.jpg""}","{""synonyms"": [], ""en"": """", ""ja"": ""\u84bc\u3044\u8a18\u61b6 \u6e80\u8499\u958b\u62d3\u3068\u5c11\u5e74\u305f\u3061""}",1993-12-18,1993-12-18,"A class of Japanese youths volunteer for the war effort during WWII, but then get stranded in Manchuria.",6.17,9000,15487,719,134,"[{""id"": 8, ""name"": ""Drama""}, {""id"": 13, ""name"": ""Historical""}, {""id"": 38, ""name"": ""Military""}]",movie,finished_airing,1
791,Arion,"{""medium"": ""https://cdn.myanimelist.net/images/anime/1661/112654.jpg"", ""large"": ""https://cdn.myanimelist.net/images/anime/1661/112654l.jpg""}","{""synonyms"": [""Neo Heroic Fantasia Arion""], ""en"": ""Arion"", ""ja"": ""\u30cd\u30aa\u30fb\u30d2\u30ed\u30a4\u30c3\u30af\u30fb\u30d5\u30a1\u30f3\u30bf\u30b8\u30a2\u3000\u30a2\u30ea\u30aa\u30f3""}",1986-03-15,1986-03-15,"Arion is a young shepherd who lives in Thrace with his blind mother, the goddess Demeter. Their lives are peaceful until the day Arion's uncle Hades appears and lures him to the underworld, promising that there is a way to restore his mother's sight. To achieve this, Arion must kill the god who cursed her: Zeus, the king of Olympus.

After years of training in the underworld, Arion—now a deadly warrior—embarks on his vengeful quest to slay Zeus. On his journey to Mount Olympus, Arion forges alliances with some unlikely individuals: the giant Geedo, the thief Seneca, and the mute maiden Resphoina. As he cuts a bloody path through a vast world of warring armies and mythical monsters, Arion begins to unravel the secrets of his lineage and the fate of the scheming gods.

[Written by MAL Rewrite]",6.17,9001,7347,8277,3097,"[{""id"": 1, ""name"": ""Action""}, {""id"": 2, ""name"": ""Adventure""}, {""id"": 8, ""name"": ""Drama""}, {""id"": 10, ""name"": ""Fantasy""}, {""id"": 6, ""name"": ""Mythology""}, {""id"": 42, ""name"": ""Seinen""}]",movie,finished_airing,1
11017,Battle Spirits: Heroes,"{""medium"": ""https://cdn.myanimelist.net/images/anime/1421/135408.jpg"", ""large"": ""https://cdn.myanimelist.net/images/anime/1421/135408l.jpg""}","{""synonyms"": [""Battle Spirits: Haou"", ""Battlespirits Heroes"", ""Battle Spirits Season 4""], ""en"": """", ""ja"": ""\u30d0\u30c8\u30eb\u30b9\u30d4\u30ea\u30c3\u30c4 \u8987\u738b\uff08\u30d2\u30fc\u30ed\u30fc\u30ba\uff09""}",2011-09-18,2012-09-02,"Like every card game enthusiast, Hajime Hinobori has always wanted to see the Spirits from his cards come to life and witness them in real combat. This dream is successfully realized by Hajime's scientist parents, who develop an augmented reality system that revolutionizes the competitive scene of Battle Spirits. Curious players from across the globe travel to partake in this innovative battle system.

With his sight set on becoming the champion of this new form of Battle Spirits, Hajime encounters many colorful and quirky rivals, including eccentric diva Kimari Tatsumi and arrogant prodigy Tegamaru Tanashi. Along this journey of self-discovery and card-gaming shenanigans, there are no ordinary days in the lives of young heroes striving to take the crown!

[Written by MAL Rewrite]",6.17,9002,10946,2712,1026,"[{""id"": 24, ""name"": ""Sci-Fi""}, {""id"": 11, ""name"": ""Strategy Game""}]",tv,finished_airing,50
819,Boku wa Imouto ni Koi wo Suru,"{""medium"": ""https://cdn.myanimelist.net/images/anime/1178/121937.webp"", ""large"": ""https://cdn.myanimelist.net/images/anime/1178/121937l.webp""}","{""synonyms"": [""I'm My Little Sister's Secret"", ""I'm in Love With My Little Sister""], ""en"": """", ""ja"": ""\u50d5\u306f\u59b9\u306b\u604b\u3092\u3059\u308b""}",2005-05-18,2005-05-18,"Yori and his twin sister Iku used to be very close as children but lately Yori has grown colder toward Iku and is always eager to stay away from her. Iku was confused by Yori's attitude. Actually Yori is in love with Iku and that forbidden love is causing Yori sleepless nights since Yori and Iku are sharing the same room with bunk beds. Yori tried to ease his intense desire for Iku by bedding Iku's best friend. He had even applied to attend a boarding school in another city to take him far away from Iku. Yori lost his resolve to stay quiet about his feelings when Iku started to talk about having a boyfriend and going on dates. Now Yori want to have his little sister and he confessed. Iku loves her big brother and wanted them to stay together, so Iku is willing to anything to keep them together. But Yori wanted to have Iku as a lover, not as a sister loyal to her twin. ",6.17,9003,3575,44263,24469,"[{""id"": 22, ""name"": ""Romance""}, {""id"": 25, ""name"": ""Shoujo""}]",ova,finished_airing,1
51307,Bokura no Yoake,"{""medium"": ""https://cdn.myanimelist.net/images/anime/1411/127593.jpg"", ""large"": ""https://cdn.myanimelist.net/images/anime/1411/127593l.jpg""}","{""synonyms"": [""Break of Dawn""], ""en"": """", ""ja"": ""\u307c\u304f\u3089\u306e\u3088\u3042\u3051""}",2022-10-21,2022-10-21,"In 2038, Yuuma Sawatari is an elementary school kid who loves everything about space and astronomy. He was initially excited when his parents bought a robot called Nanako, but he was disappointed when he learned that she was basically just a boring housekeeping robot. However, when he does finally try to talk to her about space, something strange happens. Her system crashes and is taken over by what claims to be a marooned alien ship! The alien ship wants Yuuma's help to get back to space! 

(Source: MangaHelpers)",6.17,9004,8150,6361,377,"[{""id"": 8, ""name"": ""Drama""}, {""id"": 24, ""name"": ""Sci-Fi""}, {""id"": 42, ""name"": ""Seinen""}]",movie,finished_airing,1
1542,Brain Powerd,"{""medium"": ""https://cdn.myanimelist.net/images/anime/1749/91562.webp"", ""large"": ""https://cdn.myanimelist.net/images/anime/1749/91562l.webp""}","{""synonyms"": [""Brain Powered""], ""en"": """", ""ja"": ""\u30d6\u30ec\u30f3\u30d1\u30ef\u30fc\u30c9""}",1998-04-08,1998-11-11,"In the not so distant future much of the earth has been submerged under the sea or destroyed by earthquakes. At the center of the turmoil is the mysterious Orphan. Orphan may or may not be the original cause of the cataclysms. Orphan's goal is to raise a ship hidden deep beneath the sea to the surface, but doing so would result in the destruction of all humans except for the small number which are loyal to Orphan.

Orphan's agents pilot mysterious mecha known as Grand Cheres, and search the world for mysterious, giant disks which occasionally appear, flying at high speeds and wrecking much of the countryside, or cities, when they hit the ground. After a dying disc almost kills Hime, a Brain Powerd is born from the disc. Brain Powerds are another type of Mecha, similar to but not the same as Grand Cheres.

Hime becomes the Brain Powerd's pilot, forming a symbiotic relationship with the living mecha and joins an International Organization dedicated to stopping Orphan, or at the very least saving humanity should Orphan succeed.

(Source: AniDB)",6.17,9005,6256,12119,3471,"[{""id"": 1, ""name"": ""Action""}, {""id"": 2, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Mecha""}, {""id"": 24, ""name"": ""Sci-Fi""}]",tv,finished_airing,26
59714,Bunchou Colors,"{""medium"": ""https://cdn.myanimelist.net/images/anime/1917/145207.jpg"", ""large"": ""https://cdn.myanimelist.net/images/anime/1917/145207l.jpg""}","{""synonyms"": [], ""en"": """", ""ja"": ""\u6587\u9ce5\u30ab\u30e9\u30fc\u30ba""}",2024-08-27,2024-08-27,Five finches meet everyday in a club to help other birds.,6.17,9006,19901,298,104,"[{""id"": 36, ""name"": ""Slice of Life""}]",ona,finished_airing,1
49505,Deji Meets Girl,"{""medium"": ""https://cdn.myanimelist.net/images/anime/1411/116829.webp"", ""large"": ""https://cdn.myanimelist.net/images/anime/1411/116829l.webp""}","{""synonyms"": [], ""en"": ""\""Deji\"" Meets Girl"", ""ja"": ""\u3067\u30fc\u3058\u30df\u30fc\u30c4\u30ac\u30fc\u30eb""}",2021-10-02,2021-12-18,"Sixteen-year-old Maise Higa spends her summer days working part-time at her family's hotel, with absolutely nothing interesting to do. That is, until she meets Ichirou Suzuki—a mysterious boy who is seemingly haunted by strange supernatural occurrences. Upon interacting with him, Maise unexpectedly enters a different reality, where hotel rooms can transform into the deep ocean and banyan trees can spawn indoors out of nowhere. Intrigued, Maise accompanies Ichirou in his quest to uncover the secrets behind the inexplicable enigmas surrounding him.

[Written by MAL Rewrite]
",6.17,9007,4041,34674,11028,"[{""id"": 36, ""name"": ""Slice of Life""}, {""id"": 37, ""name"": ""Supernatural""}]",tv,finished_airing,12
7718,Denshinbashira Elemi no Koi,"{""medium"": ""https://cdn.myanimelist.net/images/anime/4/18645.jpg"", ""large"": ""https://cdn.myanimelist.net/images/anime/4/18645l.jpg""}","{""synonyms"": [], ""en"": ""Elemi"", ""ja"": ""\u96fb\u4fe1\u67f1\u30a8\u30ec\u30df\u306e\u604b""}",2009-01,2009-01,"Elemi, known as a responsible hard worker, is one of many utility poles servicing a small city. One day during maintenance, she is emotionally touched by Takahashi, the young man who repairs her. She decides to thank him and begins calling him regularly, masquerading as a human.

Days go by and soon all the utility poles in the city are aware of Elemi's budding romance. Elder utility poles urge her to put an end to it. Even if Elemi is able to win the blessing of her society, she still has to face the challenge of revealing her true identity to Takahashi. In a time before cell phones, when all calls were carried by utility poles, Denshinbashira Elemi no Koi tells the story of the tragic romance between a utility pole and and a utility worker.

[Written by MAL Rewrite]",6.17,9008,9947,3678,1498,"[{""id"": 46, ""name"": ""Award Winning""}, {""id"": 10, ""name"": ""Fantasy""}]",movie,finished_airing,1
